,index,city_s,reduce,reuse,recycle,other,year,total,reduce_rat,reuse_rat,recycle_rat,other_rat,total_ac,total_circ_ac_x,total_circ_ac_y,total_circ_ac_x.1,total_circ_ac_y.1,total_circ_ac,total_reduce_ac,reduce_ac_rat,total_reuse_ac,reuse_ac_rat,total_recycle_ac,recycle_ac_rat,total_other_ac,other_ac_rat,reduce_LQ,reuse_LQ,recycle_LQ,other_LQ,entropy,city,AP,AP_CO,AP_NO2,AP_O3,AP_PM10,AP_PM2.5,AP_SO2,第一产业占地区生产总值的比重-全市,第二产业占地区生产总值的比重-全市,第三产业占地区生产总值的比重-全市,第一产业产值-全市(万元),第三产业_社会服务业_全市,工业总产值_当年价格（万元）全市,规模以上工业总产值（万元）全市,规模以上内资企业工业总产值_当年价格（万元）全市,规模以上港澳台商投资企业工业总产值_当年价格（万元）全市,规模以上外商投资企业工业总产值_当年价格（万元）全市,规模以上工业企业主要财务指标_产品销售收入（万元）全市,规模以上工业企业主要财务指标_利税总额（万元）全市,规模以上工业企业主要财务指标_应交增值税（万元）全市,规模以上工业企业资产状况_固定资产合计（万元）全市,规模以上工业企业资产状况_流动资产合计（万元）全市,限额以上批发零售业商品销售总额（万元）全市,工业废水排放达标率（%）全市,工业企业数（个）全市,限额以上批发零售商贸企业中百货商场数（个）全市,限额以上批发零售商贸企业中超级市场数（个）全市,邮政业务收入（万元）全市,电信业务收入（万元）全市,内资企业（个）全市,港澳台商投资企业（个）全市,外商投资企业（个）全市,规模以上工业总产值_当年价格（万元）全市,工业废水排放量_万吨_全市,工业废水排放达标量_万吨_全市,工业二氧化硫去除量（吨）全市,工业二氧化硫排放量（吨）全市,工业烟粉尘去除量（吨）全市,工业烟粉尘排放量（吨）全市,一般工业固体废物综合利用率（%）全市,规模以上工业企业主要财务指标_利润总额（万元）全市,工业用电（万千瓦时）全市,规模以上工业企业主要财务指标_税金及附加（万元）全市,规模以上内资企业（个）全市,规模以上港澳台商投资企业（个）全市,规模以上外商投资企业（个）全市,中等职业教育学校（所）全市,工业二氧化硫产生量（吨）全市,工业氮氧化物排放量（吨）全市,工业烟粉尘产生量（吨）全市
10,4,三门峡,29.0,16.0,47.0,134.0,2022,226.0,12.831858407079642,7.079646017699109,20.79646017699115,59.29203539823009,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,11.147185801741848,14.805525285305423,33.94325476795467,7.6426850911687225,1.0874355784791925,三门峡市,30,0,4,74,33,2,0,9.634090909090908,58.809090909090905,31.55818181818182,359458.0,9100.0,6930599.25,1326587.0,12828461.25,297710.7,728247.25,4590939.2,274074.0,282591.95,5590008.904761905,5561323.652173913,2109234.1304347827,76.10166666666667,476.54545454545456,66.0,31.0,19771.05,160229.95,517.625,6.875,10.25,19339333.0,3925.0,2628.5,224644.625,122667.11111111111,2322800.727272727,35281.94117647059,36.470588235294116,1604636.0,372498.25,134314.3,552.2222222222222,5.111111111111111,6.555555555555555,20.363636363636363,174636.0,29638.375,2427614.5
11,4,三门峡,36.0,18.0,55.0,156.0,2023,265.0,13.58490566037735,6.79245283018867,20.75471698113207,58.867924528301884,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,11.810491602666415,14.43081369220877,35.67323117402657,7.549814445968963,1.09212893638145,三门峡市,74,0,25,44,87,43,0,9.634090909090908,58.809090909090905,31.55818181818182,359458.0,9100.0,6930599.25,1326587.0,12828461.25,297710.7,728247.25,4590939.2,274074.0,282591.95,5590008.904761905,5561323.652173913,2109234.1304347827,76.10166666666667,476.54545454545456,66.0,31.0,19771.05,160229.95,517.625,6.875,10.25,19339333.0,3925.0,2628.5,224644.625,122667.11111111111,2322800.727272727,35281.94117647059,36.470588235294116,1604636.0,372498.25,134314.3,552.2222222222222,5.111111111111111,6.555555555555555,20.363636363636363,174636.0,29638.375,2427614.5
12,5,上海,3831.0,1327.0,1630.0,46133.0,2021,52921.0,7.239092231817231,2.50751119593356,3.0800627350201197,87.17333383722907,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,5.887338152069539,4.393089800578728,4.4786127197973205,11.604722952609244,0.5093561190212106,上海市,22,24,22,17,46,3,0,0.87,40.29863636363636,58.82909090909091,2069019.0,649550.0,154795257.33333334,54529098.0,73028043.3,28869527.35,86448033.5,124247969.0,12301886.142857144,6487054.095238095,66453305.0952381,154059615.17391303,482362415.34782606,94.07333333333334,13551.727272727272,110.0,22.0,1178081.9,4874512.35,9435.125,1835.125,3845.5,250200000.0,43912.58823529412,46690.375,167284.0,212045.4,5142561.375,56133.82352941176,95.64529411764705,22214076.8125,7741816.583333333,8853244.818181818,5156.111111111111,1065.6666666666667,2795.6666666666665,91.0,534287.0,63084.42857142857,
13,5,上海,4811.0,1523.0,1914.0,68162.0,2022,76410.0,6.2962962962962905,1.9931946080355902,2.5049077345897097,89.2056013610784,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,5.469666392119051,4.168328909952523,4.08842277396173,11.498514345004345,0.4463981034701497,上海市,0,0,0,45,7,0,0,0.87,40.29863636363636,58.82909090909091,2069019.0,649550.0,154795257.33333334,54529098.0,73028043.3,28869527.35,86448033.5,124247969.0,12301886.142857144,6487054.095238095,66453305.0952381,154059615.17391303,482362415.34782606,94.07333333333334,13551.727272727272,110.0,22.0,1178081.9,4874512.35,9435.125,1835.125,3845.5,250200000.0,43912.58823529412,46690.375,167284.0,212045.4,5142561.375,56133.82352941176,95.64529411764705,22214076.8125,7741816.583333333,8853244.818181818,5156.111111111111,1065.6666666666667,2795.6666666666665,91.0,534287.0,63084.42857142857,
14,5,上海,5564.0,1706.0,2113.0,78666.0,2023,88049.0,6.31920862247157,1.93755749639405,2.3998001113016603,89.3434337698327,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,5.493815138435392,4.116411544904077,4.124779163201544,11.458300124096661,0.4411037667417673,上海市,30,0,10,59,72,18,0,0.87,40.29863636363636,58.82909090909091,2069019.0,649550.0,154795257.33333334,54529098.0,73028043.3,28869527.35,86448033.5,124247969.0,12301886.142857144,6487054.095238095,66453305.0952381,154059615.17391303,482362415.34782606,94.07333333333334,13551.727272727272,110.0,22.0,1178081.9,4874512.35,9435.125,1835.125,3845.5,250200000.0,43912.58823529412,46690.375,167284.0,212045.4,5142561.375,56133.82352941176,95.64529411764705,22214076.8125,7741816.583333333,8853244.818181818,5156.111111111111,1065.6666666666667,2795.6666666666665,91.0,534287.0,63084.42857142857,
15,6,上饶,82.0,55.0,165.0,415.0,2021,717.0,11.43654114365411,7.670850767085071,23.01255230125523,57.88005578800558,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,9.300998363692036,13.439116970361816,33.46175656734777,7.705131630683569,1.0995236892010287,上饶市,43,11,26,35,44,44,17,18.092380952380953,43.77285714285714,38.13666666666667,,5533.333333333333,3482089.4545454546,,7881573.0,1462543.105263158,146397.42105263157,2041625.111111111,639720.1666666666,455678.25,2896022.35,4949105.909090909,2105640.4545454546,84.96799999999999,505.54545454545456,7.0,2.0,48569.2,253450.15,524.625,18.125,17.5,12752368.142857144,5137.941176470588,4027.25,32600.5,41389.555555555555,1523996.2727272727,21202.470588235294,45.63647058823529,1377375.5,267647.9166666667,145708.27272727274,967.6666666666666,25.22222222222222,12.11111111111111,43.45454545454545,59946.0,20803.875,2105105.5
16,6,上饶,128.0,60.0,177.0,527.0,2022,892.0,14.34977578475336,6.726457399103131,19.843049327354258,59.08071748878923,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,12.465818419390295,14.066908833291869,32.38713093282422,7.615446420323081,1.0919933307168896,上饶市,9,2,14,114,3,9,1,18.092380952380953,43.77285714285714,38.13666666666667,,5533.333333333333,3482089.4545454546,,7881573.0,1462543.105263158,146397.42105263157,2041625.111111111,639720.1666666666,455678.25,2896022.35,4949105.909090909,2105640.4545454546,84.96799999999999,505.54545454545456,7.0,2.0,48569.2,253450.15,524.625,18.125,17.5,12752368.142857144,5137.941176470588,4027.25,32600.5,41389.555555555555,1523996.2727272727,21202.470588235294,45.63647058823529,1377375.5,267647.9166666667,145708.27272727274,967.6666666666666,25.22222222222222,12.11111111111111,43.45454545454545,59946.0,20803.875,2105105.5
17,6,上饶,147.0,73.0,196.0,654.0,2023,1070.0,13.73831775700934,6.822429906542051,18.31775700934579,61.12149532710281,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,11.943865534316465,14.494501083892974,31.48458160032184,7.838835020554043,1.0676944783695068,上饶市,64,3,1,36,49,50,0,18.092380952380953,43.77285714285714,38.13666666666667,,5533.333333333333,3482089.4545454546,,7881573.0,1462543.105263158,146397.42105263157,2041625.111111111,639720.1666666666,455678.25,2896022.35,4949105.909090909,2105640.4545454546,84.96799999999999,505.54545454545456,7.0,2.0,48569.2,253450.15,524.625,18.125,17.5,12752368.142857144,5137.941176470588,4027.25,32600.5,41389.555555555555,1523996.2727272727,21202.470588235294,45.63647058823529,1377375.5,267647.9166666667,145708.27272727274,967.6666666666666,25.22222222222222,12.11111111111111,43.45454545454545,59946.0,20803.875,2105105.5
18,9,东莞,1109.0,1200.0,379.0,6125.0,2021,8813.0,12.583683195279699,13.616248723476678,4.30046522183138,69.49960285941224,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,10.233934835573857,23.85528865683815,6.253157776480878,9.251953561920637,0.9205115271898352,东莞市,52,27,98,68,108,47,0,1.6022727272727273,52.408181818181816,45.98954545454546,537442.0,9125.0,36351569.333333336,7591703.0,17771255.2,21800491.45,16212462.4,29934901.4,2603823.4285714286,1527485.3333333333,15784058.315789474,49178241.04347826,25592464.727272727,63.464999999999996,3639.6363636363635,2.0,7.0,489186.1052631579,1215562.65,1207.875,2233.75,919.375,77107256.42857143,28863.5625,32554.375,90002.75,139316.29411764705,622372.1818181818,19770.375,86.24375,3879598.0,4808630.75,416937.8181818182,3303.1111111111113,1973.6666666666667,1067.111111111111,25.818181818181817,201635.25,48018.42857142857,1233320.5
19,9,东莞,1312.0,1232.0,597.0,7998.0,2022,11139.0,11.77843612532543,11.06023880061046,5.3595475356854205,71.80177753837867,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,10.232065518312726,23.130061137883562,8.747665992023387,9.255178558575185,0.890141975731165,东莞市,36,1,7,133,23,1,0,1.6022727272727273,52.408181818181816,45.98954545454546,537442.0,9125.0,36351569.333333336,7591703.0,17771255.2,21800491.45,16212462.4,29934901.4,2603823.4285714286,1527485.3333333333,15784058.315789474,49178241.04347826,25592464.727272727,63.464999999999996,3639.6363636363635,2.0,7.0,489186.1052631579,1215562.65,1207.875,2233.75,919.375,77107256.42857143,28863.5625,32554.375,90002.75,139316.29411764705,622372.1818181818,19770.375,86.24375,3879598.0,4808630.75,416937.8181818182,3303.1111111111113,1973.6666666666667,1067.111111111111,25.818181818181817,201635.25,48018.42857142857,1233320.5
